summonerName,count,win,winRate,totalDamageDealt,damageDealtToObjectives,totalDamageDealtToChampions,damageDealtToTurrets,inhibitorKills,firstTowerKill,turretKills,goldEarned,goldSpent,champLevel,totalMinionsKilled,firstBloodKill,firstInhibitorKill,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,neutralMinionsKilled,visionScore,wardsPlaced,wardsKilled,kda
 DWG jool,30,13.0,0.43333333333333335,111882.86666666667,4674.466666666666,15309.3,1843.6666666666667,0.16666666666666666,0.03333333333333333,0.6333333333333333,10334.266666666666,9854.8,14.1,161.33333333333334,0.06666666666666667,0.13333333333333333,4.533333333333333,1.3333333333333333,7.9,20.633333333333333,9.9,2.466666666666667,2.664550264550264
 Gen G Bdd,23,13.0,0.5652173913043478,108771.08695652174,4881.130434782609,18520.565217391304,2363.304347826087,0.08695652173913043,0.043478260869565216,1.0,11401.260869565218,10551.95652173913,14.521739130434783,149.8695652173913,0.13043478260869565,0.043478260869565216,5.434782608695652,2.0,8.0,36.82608695652174,18.52173913043478,4.434782608695652,5.216580400276053
 SEKAI ICHI,14,10.0,0.7142857142857143,127623.85714285714,8702.57142857143,21305.35714285714,5374.928571428572,0.21428571428571427,0.0,1.6428571428571428,11459.214285714286,10876.57142857143,14.857142857142858,169.92857142857142,0.07142857142857142,0.07142857142857142,5.214285714285714,2.857142857142857,11.428571428571429,18.285714285714285,7.714285714285714,2.142857142857143,3.4629251700680266
 maerd1,12,8.0,0.6666666666666666,128044.66666666667,7257.0,21064.416666666668,2875.4166666666665,0.08333333333333333,0.16666666666666666,0.9166666666666666,11118.0,10496.5,14.333333333333334,155.0,0.0,0.0,11.666666666666666,2.0,19.083333333333332,22.583333333333332,9.5,2.9166666666666665,2.5691137566137567
 다드몬아이다,24,16.0,0.6666666666666666,145570.33333333334,8257.625,19259.041666666668,4390.458333333333,0.041666666666666664,0.08333333333333333,1.4166666666666667,11722.125,10969.5,15.0,190.04166666666666,0.041666666666666664,0.0,7.333333333333333,3.125,15.375,14.25,6.416666666666667,1.8333333333333333,2.75135582010582
 돌덩이의 꿈,30,15.0,0.5,128048.73333333334,7768.033333333334,18374.9,4684.5,0.2,0.03333333333333333,1.7333333333333334,11088.533333333333,10622.733333333334,14.366666666666667,174.66666666666666,0.06666666666666667,0.06666666666666667,5.233333333333333,3.3,11.0,16.633333333333333,7.666666666666667,2.1,3.4693585118585117
03 Gamin,19,11.0,0.5789473684210527,112106.36842105263,9171.315789473685,16296.263157894737,3189.0526315789475,0.21052631578947367,0.10526315789473684,1.368421052631579,10349.526315789473,9460.157894736842,12.894736842105264,147.6315789473684,0.05263157894736842,0.10526315789473684,10.68421052631579,1.5789473684210527,15.526315789473685,20.94736842105263,9.105263157894736,4.157894736842105,3.264327485380117
110011001100,24,10.0,0.4166666666666667,98373.375,6332.125,13935.791666666666,3534.2916666666665,0.041666666666666664,0.0,1.0833333333333333,10069.791666666666,9113.541666666666,12.75,151.95833333333334,0.041666666666666664,0.0,5.041666666666667,0.6666666666666666,7.708333333333333,26.75,11.791666666666666,5.875,4.144865435490436
11baby,25,10.0,0.4,27558.76,1765.72,5431.2,316.6,0.04,0.0,0.08,7074.0,6593.6,11.68,40.2,0.0,0.0,0.04,0.32,0.92,51.76,30.0,5.8,4.259333333333334
16xyz,28,16.0,0.5714285714285714,141482.2142857143,11091.17857142857,20660.428571428572,6727.321428571428,0.39285714285714285,0.10714285714285714,2.2142857142857144,11656.035714285714,10689.75,14.535714285714286,177.39285714285714,0.25,0.2857142857142857,3.607142857142857,1.5357142857142858,8.285714285714286,24.321428571428573,10.357142857142858,3.4285714285714284,4.006067048031333
175050,8,3.0,0.375,126406.375,15974.5,11489.75,2055.25,0.375,0.0,1.125,9792.75,8843.75,12.625,55.75,0.125,0.25,60.375,11.0,93.25,22.375,7.0,4.0,3.0730158730158728
19980409,14,7.0,0.5,170557.57142857142,19649.285714285714,18616.428571428572,2526.0,0.2857142857142857,0.14285714285714285,0.9285714285714286,11833.92857142857,11120.357142857143,14.857142857142858,73.57142857142857,0.0,0.0,71.64285714285714,10.0,107.5,35.07142857142857,16.071428571428573,5.214285714285714,6.0096938775510225
1K EGO,18,8.0,0.4444444444444444,146577.22222222222,22136.555555555555,18785.722222222223,1720.0555555555557,0.2777777777777778,0.2222222222222222,1.1111111111111112,11017.111111111111,9864.388888888889,13.777777777777779,51.27777777777778,0.05555555555555555,0.16666666666666666,60.27777777777778,16.166666666666668,105.66666666666667,30.22222222222222,9.333333333333334,6.388888888888889,4.51084656084656
1kong,8,4.0,0.5,20924.125,1069.375,5443.25,559.0,0.0,0.0,0.125,5771.875,5202.5,10.25,28.75,0.0,0.0,0.25,0.0,0.25,43.625,24.5,5.625,2.5479166666666666
1liiLlili1iilI,19,10.0,0.5263157894736842,137615.15789473685,18861.684210526317,12878.368421052632,744.2105263157895,0.05263157894736842,0.21052631578947367,0.631578947368421,9343.684210526315,8645.315789473685,12.68421052631579,37.89473684210526,0.05263157894736842,0.0,74.47368421052632,12.578947368421053,114.05263157894737,24.894736842105264,6.315789473684211,5.052631578947368,3.278070175438596
1wancibeishang,6,2.0,0.3333333333333333,183233.0,23645.0,15401.166666666666,1107.0,0.0,0.16666666666666666,0.8333333333333334,11904.166666666666,10968.0,14.833333333333334,46.0,0.3333333333333333,0.0,87.66666666666667,25.833333333333332,148.33333333333334,25.0,5.833333333333333,5.0,4.924603174603175
1게임1분석,2,1.0,0.5,39726.0,2870.0,12737.0,1036.5,0.0,0.0,0.0,8218.0,7537.5,13.5,47.0,0.0,0.0,0.0,0.0,0.0,112.5,42.5,12.0,2.645833333333333
1등 달리는 사람,28,15.0,0.5357142857142857,34110.67857142857,2626.1785714285716,8822.0,781.3571428571429,0.10714285714285714,0.0,0.39285714285714285,7594.678571428572,7003.392857142857,11.714285714285714,44.32142857142857,0.07142857142857142,0.07142857142857142,0.0,0.39285714285714285,1.3928571428571428,53.57142857142857,31.714285714285715,7.035714285714286,4.210685941043084
2004 03 20,9,6.0,0.6666666666666666,135786.88888888888,13340.555555555555,19647.777777777777,6541.666666666667,0.5555555555555556,0.1111111111111111,2.4444444444444446,11736.111111111111,11036.666666666666,13.777777777777779,162.0,0.1111111111111111,0.0,8.333333333333334,1.7777777777777777,14.444444444444445,14.666666666666666,7.777777777777778,2.4444444444444446,2.931565656565657
