championId,count,win,kills,deaths,assists,winRate,kda,totalMinionsKilled,goldEarned
202,7762,3916,52361,36458,65435,0.5045091471270291,3.231005540622086,197.89345529502705,12180.896676114404
104,7278,3833,53532,35480,58504,0.526655674635889,3.1577226606538895,49.684528716680404,12197.601813685078
145,6350,3142,46638,33918,43301,0.49480314960629923,2.651659885606463,200.6036220472441,12494.79559055118
236,5397,2658,35117,33189,33188,0.4924958310172318,2.058061405887493,191.9010561423013,12010.892162312395
164,5384,2741,30626,29644,32632,0.5091010401188707,2.1339225475644312,162.52674591381873,10922.883729569094
89,5026,2525,8829,29636,62382,0.5023875845602865,2.4028546362532057,34.47791484281735,7264.931356943892
875,4763,2346,16625,28203,45902,0.49254671425572116,2.217033648902599,71.76275456644971,8463.538526138987
81,4698,2224,28179,25246,32131,0.4733929331630481,2.3888932900261426,189.683908045977,11600.358237547893
84,4404,2043,30560,24385,22518,0.46389645776566757,2.176665983186385,173.57107175295187,11020.318574023615
876,4265,2201,28606,20725,39461,0.5160609613130129,3.2842943305186973,43.334583821805396,11474.383587338803
412,4099,2202,6593,21180,58653,0.5372041961454013,3.080547686496695,32.032934862161504,7386.176140522079
80,4033,2029,19576,27612,40032,0.5030994297049343,2.158771548602057,47.61269526407141,8639.413091991073
517,3957,1922,22938,23448,27073,0.48572150619155924,2.1328471511429545,153.23452110184482,10552.544857215062
12,3531,1868,5771,19409,49476,0.529028603794959,2.8464629810912463,30.514585103370152,7137.363353157746
203,3369,1602,25087,19802,24814,0.4755120213713268,2.51999798000202,41.01306025526863,11342.745325022262
120,3277,1569,23869,17326,27444,0.4787915776624962,2.961618377005656,36.553555080866644,11418.061946902655
76,3166,1683,23599,14592,25998,0.5315855969677827,3.398917214912281,30.721415034744158,11509.87302590019
126,3130,1608,17712,19541,20348,0.513738019169329,1.9476997083056138,182.49424920127797,11545.557188498402
21,2980,1655,21021,16667,22327,0.5553691275167785,2.600827983440331,206.72785234899328,12699.777516778524
3,2964,1754,13143,14633,33618,0.5917678812415654,3.1955853208501335,130.39439946018894,9550.955128205129
141,2878,1309,22845,17007,21827,0.4548297428769979,2.6266831304756866,38.14906184850591,11650.32383599722
57,2838,1531,6801,17865,32138,0.5394644115574349,2.1796249650153934,53.503523608174774,7895.988372093023
245,2838,1386,20744,14088,18466,0.4883720930232558,2.783219761499148,126.23185341789993,11403.011980267795
64,2624,1320,18571,14080,23586,0.5030487804878049,2.9941051136363637,27.766006097560975,10958.830792682927
523,2565,1327,15944,14574,17076,0.5173489278752437,2.265678605736243,202.4810916179337,12282.16686159844
58,2440,1259,11673,12473,14808,0.5159836065573771,2.1230658221759,184.31803278688525,11255.75368852459
360,2401,1108,18859,14855,17371,0.4614743856726364,2.4389094580949173,188.92211578508955,12250.049146189089
112,2342,1175,12704,12749,17441,0.5017079419299744,2.364499176405993,183.54910333048676,11162.872331340734
61,2191,1099,10538,10271,18701,0.5015974440894568,2.8467529938662253,188.62072113190325,11198.13783660429
142,2040,1081,11705,8485,15768,0.5299019607843137,3.237831467295227,172.03529411764706,10813.082352941177
22,1947,1005,8791,10921,19371,0.5161787365177196,2.57870158410402,174.6697483307653,11104.7021058038
266,1944,1039,10150,11053,13024,0.5344650205761317,2.096625350583552,152.64609053497944,10883.372942386832
